asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,entry_confidence,breakeven_activated,rr_ratio,max_hold_bar,trail_active,trail_peak,trail_stop,exit_ts,exit_price,outcome,pnl_usd,fold
ATOM,2025-02-02 08:00:00+00:00,5.557,-1.0,4.454076000000001,5.6925709285714285,23378.174331435715,5.0,0.9880358576774597,0.9880358576774597,False,8.14,2025-02-07 12:00:00+00:00,True,5.0,5.0573500000000005,2025-02-02 16:00:00+00:00,5.0573500000000005,trailing_sl_hit,2071.6247139669117,3
AVAX,2025-02-02 08:00:00+00:00,30.54,-1.0,24.582479999999997,31.272295714285715,23378.174331435715,5.0,0.968868613243103,0.968868613243103,False,8.14,2025-02-07 12:00:00+00:00,True,27.63,27.946916100000003,2025-02-02 16:00:00+00:00,27.946916100000003,trailing_sl_hit,1954.5974850338075,3
ARB,2025-02-02 16:00:00+00:00,0.5189,-1.0,0.3765128000000001,0.5364021714285715,17046.571248111966,3.0,0.9422222971916199,0.9422222971916199,False,8.14,2025-02-07 20:00:00+00:00,True,0.4659,0.47124387300000004,2025-02-02 20:00:00+00:00,0.47124387300000004,trailing_sl_hit,1543.4080916317853,3
TRX,2025-02-02 16:00:00+00:00,0.2302,-1.0,0.20510920000000002,0.23328415,11364.380832074645,2.0,0.8848916888237,0.8848916888237,False,8.14,2025-02-07 20:00:00+00:00,True,0.2224,0.224950928,2025-02-02 20:00:00+00:00,0.224950928,trailing_sl_hit,244.35946401030841,3
UNI,2025-02-02 20:00:00+00:00,9.184,1.0,10.649283440392821,8.620085078922513,0.0,0.0,0.6871160864830017,0.6871160864830017,False,2.6,2025-02-08 00:00:00+00:00,False,,,2025-02-03 00:00:00+00:00,9.19,mss_invalidation,-0.0,3
APT,2025-02-06 16:00:00+00:00,5.73,1.0,6.377074616326873,5.480973073783329,12258.264609895692,2.0,0.8988726735115051,0.8988726735115051,False,2.6,2025-02-11 20:00:00+00:00,True,5.84,5.7730152,2025-02-06 20:00:00+00:00,5.7730152,trailing_sl_hit,76.08724097180854,3
AVAX,2025-02-06 20:00:00+00:00,24.5,1.0,27.209624955868772,23.45719974646769,18444.462345572392,3.0,0.9449560046195984,0.9449560046195984,False,2.6,2025-02-12 00:00:00+00:00,True,25.23,24.9406119,2025-02-07 04:00:00+00:00,24.9406119,trailing_sl_hit,307.73034583080147,3
SUI,2025-02-07 04:00:00+00:00,3.162,1.0,3.603053721214115,2.9922602980876434,18675.260104945493,3.0,0.9609054923057556,0.9609054923057556,False,2.6,2025-02-12 08:00:00+00:00,True,3.3875,3.3486453750000003,2025-02-07 12:00:00+00:00,3.3486453750000003,trailing_sl_hit,1078.0785582930766,3
ADA,2025-02-07 20:00:00+00:00,0.7072,1.0,0.789616872184791,0.6754818336081925,19483.819023665303,3.0,0.9471186399459839,0.9471186399459839,False,2.6,2025-02-13 00:00:00+00:00,True,0.718,0.70976454,2025-02-08 00:00:00+00:00,0.70976454,trailing_sl_hit,45.325776840148016,3
SUI,2025-02-08 04:00:00+00:00,2.9707,1.0,3.423503233984261,2.7964384933747617,19517.813356295414,3.0,0.9275631904602051,0.9275631904602051,False,2.6,2025-02-13 08:00:00+00:00,True,3.0208,2.986151424,2025-02-08 12:00:00+00:00,2.986151424,trailing_sl_hit,76.14433336997162,3
