asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,entry_confidence,breakeven_activated,rr_ratio,max_hold_bar,exit_ts,exit_price,outcome,pnl_usd,fold
SUI,2023-11-18 04:00:00+00:00,0.5332,1.0,0.6107850979115608,0.503341343879613,1503.2398354121822,1.0,0.8472515344619751,0.8472515344619751,False,2.6,2023-11-23 08:00:00+00:00,2023-11-21 20:00:00+00:00,0.5258,mss_invalidation,-22.816880169475617,1
OP,2023-11-18 04:00:00+00:00,1.653,1.0,1.8698977085648296,1.5695268296661884,1503.2398354121822,1.0,0.8109970688819885,0.8109970688819885,False,2.6,2023-11-23 08:00:00+00:00,2023-11-21 20:00:00+00:00,1.654,mss_invalidation,-1.0448107966758753,1
AVAX,2023-11-21 00:00:00+00:00,20.81,1.0,23.37488458116408,19.822903137858262,0.0,0.0,0.7135042548179626,0.7135042548179626,False,2.6,2023-11-26 04:00:00+00:00,2023-11-21 20:00:00+00:00,20.81,mss_invalidation,-0.0,1
ATOM,2023-11-21 20:00:00+00:00,8.203,-1.0,6.567359999999998,8.404052142857143,4484.4949438142985,3.0,0.96440589427948,0.96440589427948,False,8.14,2023-11-27 00:00:00+00:00,2023-11-22 00:00:00+00:00,8.404052142857143,sl,-115.74296278400978,1
UNI,2023-11-22 20:00:00+00:00,6.109,-1.0,4.760524,6.274754071428571,2931.7918144841938,2.0,0.9094809293746948,0.9094809293746948,False,8.14,2023-11-28 00:00:00+00:00,2023-11-23 16:00:00+00:00,6.274754071428571,sl,-83.3589525101985,1
NEAR,2023-11-20 08:00:00+00:00,2.135,-1.0,1.615468,2.1119999999999997,7503.985353398186,5.0,0.991834282875061,0.991834282875061,True,8.14,2023-11-25 12:00:00+00:00,2023-11-25 12:00:00+00:00,1.849,time,997.7137247505269,1
TRX,2023-11-25 12:00:00+00:00,0.10656,1.0,0.10925898228125813,0.106977,0.0,0.0,0.7365748882293701,0.7365748882293701,True,2.6,2023-11-30 16:00:00+00:00,2023-11-26 00:00:00+00:00,0.10925898228125813,tp,0.0,1
APT,2023-11-26 16:00:00+00:00,7.2198,1.0,7.654063694812528,7.052673442477878,3388.969200604358,2.0,0.8582967519760132,0.8582967519760132,False,2.6,2023-12-01 20:00:00+00:00,2023-11-27 08:00:00+00:00,7.052673442477878,sl,-82.85475218570951,1
POL,2023-11-26 16:00:00+00:00,0.7596,1.0,0.8023622665855489,0.7431429245141681,1694.484600302179,1.0,0.8416057825088501,0.8416057825088501,False,2.6,2023-12-01 20:00:00+00:00,2023-11-27 12:00:00+00:00,0.7445,mss_invalidation,-35.887292150696815,1
OP,2023-11-23 08:00:00+00:00,1.828,-1.0,1.53754,1.8637032142857144,2931.7918144841938,2.0,0.9055600762367249,0.9055600762367249,False,8.14,2023-11-28 12:00:00+00:00,2023-11-28 12:00:00+00:00,1.726,time,160.65834225410882,1
