asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,entry_confidence,breakeven_activated,rr_ratio,max_hold_bar,trail_active,trail_peak,trail_stop,exit_ts,exit_price,outcome,pnl_usd
LINK,2025-12-15 16:00:00+00:00,12.75,1.0,13.622699318072426,12.414141316615675,5568.901643512601,3.0,0.9494089484214783,0.9494089484214783,False,2.6,2025-12-20 20:00:00+00:00,True,12.9,12.752037000000001,2025-12-16 00:00:00+00:00,12.752037000000001,trailing_sl_hit,-6.349858203402229
AVAX,2025-12-16 04:00:00+00:00,12.19,1.0,13.009485945019227,11.874620504626913,9269.080176058998,5.0,0.9765627980232239,0.9765627980232239,False,2.6,2025-12-21 08:00:00+00:00,True,12.4,12.257772000000001,2025-12-17 04:00:00+00:00,12.257772000000001,trailing_sl_hit,39.48293586069544
UNI,2025-12-17 16:00:00+00:00,4.952,1.0,5.403249403491108,4.77833648566469,0.0,0.0,0.7321940660476685,0.7321940660476685,False,2.6,2025-12-22 20:00:00+00:00,True,5.344,5.282704320000001,2025-12-18 08:00:00+00:00,5.282704320000001,trailing_sl_hit,0.0
OP,2025-12-17 20:00:00+00:00,0.2734,1.0,0.3008368151462282,0.26284093066140496,0.0,0.0,0.6924065351486206,0.6924065351486206,False,2.6,2025-12-23 00:00:00+00:00,True,0.2871,0.283806963,2025-12-18 12:00:00+00:00,0.283806963,trailing_sl_hit,0.0
ATOM,2025-12-18 00:00:00+00:00,1.906,-1.0,1.63408,1.9394242857142856,5591.060307530921,3.0,0.9416490197181702,0.9416490197181702,False,8.14,2025-12-23 04:00:00+00:00,True,1.884,1.90560948,2025-12-18 12:00:00+00:00,1.90560948,trailing_sl_hit,-6.122827050736643
FIL,2025-12-18 04:00:00+00:00,1.217,1.0,1.3244910135674575,1.1756320402172966,5591.060307530921,3.0,0.9502398371696472,0.9502398371696472,False,2.6,2025-12-23 08:00:00+00:00,True,1.267,1.25246751,2025-12-18 16:00:00+00:00,1.25246751,trailing_sl_hit,155.67409273246582
AVAX,2025-12-18 16:00:00+00:00,11.31,-1.0,9.357119999999998,11.550047142857144,3802.149171194812,2.0,0.9012801051139832,0.9012801051139832,False,8.14,2025-12-23 20:00:00+00:00,False,,,2025-12-19 00:00:00+00:00,11.550047142857144,sl,-85.64085274324034
SUI,2025-12-18 16:00:00+00:00,1.3309,-1.0,1.0624819999999997,1.3638938214285714,3802.149171194812,2.0,0.8877569437026978,0.8877569437026978,False,8.14,2025-12-23 20:00:00+00:00,False,,,2025-12-19 00:00:00+00:00,1.3638938214285714,sl,-99.2003871295504
POL,2025-12-18 16:00:00+00:00,0.1023,-1.0,0.084172,0.10452828571428571,3802.149171194812,2.0,0.8870056867599487,0.8870056867599487,False,8.14,2025-12-23 20:00:00+00:00,False,,,2025-12-19 00:00:00+00:00,0.10452828571428571,sl,-87.76072825057528
FIL,2025-12-18 16:00:00+00:00,1.167,-1.0,0.9239200000000001,1.1968792857142858,1901.074585597406,1.0,0.8491232395172119,0.8491232395172119,False,8.14,2025-12-23 20:00:00+00:00,False,,,2025-12-19 00:00:00+00:00,1.1968792857142858,sl,-51.1455620917242
ICP,2025-12-19 00:00:00+00:00,2.85,1.0,3.282642857142857,2.7346285714285714,1365.1032772827252,1.0,0.8020687103271484,0.8020687103271484,False,3.75,2025-12-24 04:00:00+00:00,True,2.917,2.8835420099999998,2025-12-19 04:00:00+00:00,2.8835420099999998,trailing_sl_hit,14.291438643970876
NEAR,2025-12-19 00:00:00+00:00,1.475,1.0,1.6499655705989107,1.407664429819045,1820.1377030436336,1.0,0.8185750246047974,0.8185750246047974,False,2.6,2025-12-24 04:00:00+00:00,True,1.542,1.52431326,2025-12-19 12:00:00+00:00,1.52431326,trailing_sl_hit,58.48597270536079
UNI,2025-12-20 04:00:00+00:00,5.733,-1.0,4.514715999999999,5.882750928571428,1838.3320558809664,1.0,0.8014070391654968,0.8014070391654968,False,8.14,2025-12-25 08:00:00+00:00,True,5.589,5.653105830000001,2025-12-20 08:00:00+00:00,5.653105830000001,trailing_sl_hit,23.22886949410872
UNI,2025-12-20 12:00:00+00:00,6.054,1.0,6.767910612881687,5.779251213641213,3688.2785465089873,2.0,0.8611729145050049,0.8611729145050049,False,2.6,2025-12-25 16:00:00+00:00,True,6.378,6.30484434,2025-12-20 20:00:00+00:00,6.30484434,trailing_sl_hit,148.02714038957208
FIL,2025-12-20 20:00:00+00:00,1.374,-1.0,1.137924,1.4030183571428572,3762.2921167037734,2.0,0.8994181752204895,0.8994181752204895,False,8.14,2025-12-26 00:00:00+00:00,True,1.259,1.27344073,2025-12-21 12:00:00+00:00,1.27344073,trailing_sl_hit,270.4608024771694
OP,2025-12-23 12:00:00+00:00,0.2654,1.0,0.2842801047592742,0.2581339840936123,5846.283776913538,3.0,0.953766405582428,0.953766405582428,False,2.6,2025-12-28 16:00:00+00:00,True,0.2748,0.271648044,2025-12-23 20:00:00+00:00,0.271648044,trailing_sl_hit,130.03298208715518
SUI,2025-12-23 12:00:00+00:00,1.4319,1.0,1.535027516977095,1.3922113336342181,0.0,0.0,0.7221518158912659,0.7221518158912659,False,2.6,2025-12-28 16:00:00+00:00,True,1.4577,1.440980181,2025-12-23 20:00:00+00:00,1.440980181,trailing_sl_hit,0.0
POL,2025-12-23 12:00:00+00:00,0.1057,1.0,0.1116811831311793,0.1033981392675367,3897.5225179423583,2.0,0.9169331789016724,0.9169331789016724,False,2.6,2025-12-28 16:00:00+00:00,True,0.1078,0.10656353400000002,2025-12-24 00:00:00+00:00,0.10656353400000002,trailing_sl_hit,26.7746891278943
TRX,2025-12-21 16:00:00+00:00,0.2883,-1.0,0.27985400000000005,0.287935,9743.806294855896,5.0,0.9843044877052307,0.9843044877052307,True,8.14,2025-12-26 20:00:00+00:00,True,0.2793,0.282503571,2025-12-24 20:00:00+00:00,0.27985400000000005,tp,275.70949917289454
SUI,2025-12-24 00:00:00+00:00,1.4144,1.0,1.5141218611016907,1.3760220016669376,5963.889530324824,3.0,0.9250383973121643,0.9250383973121643,False,2.6,2025-12-29 04:00:00+00:00,False,,,2025-12-25 20:00:00+00:00,1.4115,mss_invalidation,-19.98105387099943
OP,2025-12-25 16:00:00+00:00,0.2629,1.0,0.2807796933458741,0.2560189928282236,6170.671654704494,3.0,0.9475770592689514,0.9475770592689514,False,2.6,2025-12-30 20:00:00+00:00,False,,,2025-12-25 20:00:00+00:00,0.2629,mss_invalidation,-8.021873151115843
POL,2025-12-25 20:00:00+00:00,0.1028,-1.0,0.0928708,0.10402049285714286,6149.669459437909,3.0,0.952284038066864,0.952284038066864,False,8.14,2025-12-31 00:00:00+00:00,False,,,2025-12-26 00:00:00+00:00,0.10402049285714286,sl,-81.0065124084907
DOT,2025-12-25 20:00:00+00:00,1.685,-1.0,1.5049559999999997,1.7071309285714287,6149.669459437909,3.0,0.9505000710487366,0.9505000710487366,False,8.14,2025-12-31 00:00:00+00:00,True,1.653,1.6719599100000002,2025-12-26 00:00:00+00:00,1.6719599100000002,trailing_sl_hit,39.597265442386906
APT,2025-12-27 08:00:00+00:00,1.732,-1.0,1.4588439999999998,1.7655762142857143,6118.612524213331,3.0,0.9320420622825623,0.9320420622825623,False,8.14,2026-01-01 12:00:00+00:00,True,1.712,1.73163664,2025-12-27 12:00:00+00:00,1.73163664,trailing_sl_hit,-6.670559418430166
