asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,entry_confidence,breakeven_activated,rr_ratio,max_hold_bar,exit_ts,exit_price,outcome,pnl_usd,fold,strategy_version,confidence_thresh,tp_atr_mult,sl_atr_mult,rr_ratio_implied
LINK,2025-02-24 00:00:00+00:00,16.88129425048828,-1.0,15.219818925570316,16.73583254814148,2500.0,2.0,0.9051085114479065,0.9051085114479065,True,8.13,2025-03-01 04:00:00+00:00,2025-02-24 20:00:00+00:00,15.219818925570316,tp,243.55271673259122,2,v5.1_hunter,0.7861,5.7684,0.7092,8.13
OP,2025-02-24 12:00:00+00:00,1.0653016567230225,-1.0,0.908031615823937,1.0527913272380829,2500.0,2.0,0.866010844707489,0.866010844707489,True,8.13,2025-03-01 16:00:00+00:00,2025-02-25 16:00:00+00:00,1.0527913272380829,sl,26.108654907715614,2,v5.1_hunter,0.7861,5.7684,0.7092,8.13
AVAX,2025-02-24 20:00:00+00:00,21.874223709106445,-1.0,18.262054142046264,22.31831659820661,2621.7763583662954,2.0,0.8842880725860596,0.8842880725860596,False,8.13,2025-03-02 00:00:00+00:00,2025-02-27 00:00:00+00:00,22.31831659820661,sl,-56.63590047299567,2,v5.1_hunter,0.7861,5.7684,0.7092,8.13
SUI,2025-02-28 00:00:00+00:00,2.5575382709503174,-1.0,1.868647501043629,2.6422329361930914,1303.2563677918276,1.0,0.8485448956489563,0.8485448956489563,False,8.13,2025-03-05 04:00:00+00:00,2025-02-28 12:00:00+00:00,2.6422329361930914,sl,-44.85247769205496,2,v5.1_hunter,0.7861,5.7684,0.7092,8.13
APT,2025-03-01 08:00:00+00:00,6.523926258087158,-1.0,5.331579681074965,6.670517559066694,2584.086496737628,2.0,0.8911395072937012,0.8911395072937012,False,8.13,2025-03-06 12:00:00+00:00,2025-03-02 16:00:00+00:00,6.327054023742676,mss_invalidation,74.62055155431426,2,v5.1_hunter,0.7861,5.7684,0.7092,8.13
ADA,2025-03-02 12:00:00+00:00,0.8641825914382935,-1.0,0.6859547903904883,0.8860945470139855,1292.043248368814,1.0,0.8352717161178589,0.8352717161178589,False,8.13,2025-03-07 16:00:00+00:00,2025-03-02 16:00:00+00:00,0.8567308783531189,mss_invalidation,9.461433259676744,2,v5.1_hunter,0.7861,5.7684,0.7092,8.13
ADA,2025-03-02 16:00:00+00:00,1.0413737297058105,-1.0,0.7609211609393567,1.0758535594056167,2626.1274891446233,2.0,0.8717846870422363,0.8717846870422363,False,8.13,2025-03-07 20:00:00+00:00,2025-03-02 20:00:00+00:00,1.0758535594056167,sl,-90.36490948714444,2,v5.1_hunter,0.7861,5.7684,0.7092,8.13
AVAX,2025-03-02 20:00:00+00:00,24.939231872558594,-1.0,21.264049629517125,24.73747444152832,3871.4175516015766,3.0,0.9385406970977783,0.9385406970977783,True,8.13,2025-03-08 00:00:00+00:00,2025-03-03 16:00:00+00:00,21.264049629517125,tp,566.6419452396913,2,v5.1_hunter,0.7861,5.7684,0.7092,8.13
SUI,2025-03-02 16:00:00+00:00,3.1907615661621094,-1.0,2.6201883315352417,3.1585700035095217,2626.1274891446233,2.0,0.8818219304084778,0.8818219304084778,True,8.13,2025-03-07 20:00:00+00:00,2025-03-03 20:00:00+00:00,2.6201883315352417,tp,466.9790200449832,2,v5.1_hunter,0.7861,5.7684,0.7092,8.13
APT,2025-03-02 16:00:00+00:00,6.683122634887695,-1.0,5.598319074699729,6.611753296852112,2626.1274891446233,2.0,0.8992646932601929,0.8992646932601929,True,8.13,2025-03-07 20:00:00+00:00,2025-03-04 00:00:00+00:00,5.598319074699729,tp,423.6465305734056,2,v5.1_hunter,0.7861,5.7684,0.7092,8.13
